代码,name,ts_code,exchange,最新价,cats,命中数
600673,东阳光,600673.SH,SSE,38.18,['机器人'],1
600681,百川能源,600681.SH,SSE,4.07,['机器人'],1
600686,金龙汽车,600686.SH,SSE,14.94,['智能驾驶'],1
600706,曲江文旅,600706.SH,SSE,9.34,['数字经济'],1
600720,中交设计,600720.SH,SSE,6.67,['数字经济'],1
600733,北汽蓝谷,600733.SH,SSE,7.04,['智能驾驶'],1
600736,苏州高新,600736.SH,SSE,9.51,['大模型'],1
600741,华域汽车,600741.SH,SSE,18.06,['智能驾驶'],1
600742,富维股份,600742.SH,SSE,9.35,['机器人'],1
600770,综艺股份,600770.SH,SSE,8.39,['大模型'],1
600775,南京熊猫,600775.SH,SSE,13.28,['机器人'],1
600817,宇通重工,600817.SH,SSE,11.2,['智能驾驶'],1
600821,金开新能,600821.SH,SSE,8.96,['算力租赁'],1
600831,广电网络,600831.SH,SSE,3.91,['算力租赁'],1
600834,申通地铁,600834.SH,SSE,8.1,['智能驾驶'],1
600835,上海机电,600835.SH,SSE,24.28,['机器人'],1
600841,动力新科,600841.SH,SSE,8.25,['智能驾驶'],1
600843,上工申贝,600843.SH,SSE,9.03,['机器人'],1
600845,宝信软件,600845.SH,SSE,23.8,['机器人'],1
600855,航天长峰,600855.SH,SSE,20.64,['大模型'],1
600860,京城股份,600860.SH,SSE,10.87,['机器人'],1
600869,远东股份,600869.SH,SSE,22.9,['机器人'],1
600889,南京化纤,600889.SH,SSE,15.78,['机器人'],1
600895,张江高科,600895.SH,SSE,37.79,['大模型'],1
600933,爱柯迪,600933.SH,SSE,17.73,['机器人'],1
600936,北投科技,600936.SH,SSE,5.19,['大模型'],1
600941,中国移动,600941.SH,SSE,97.93,['算力租赁'],1
600960,渤海汽车,600960.SH,SSE,4.91,['机器人'],1
600968,海油发展,600968.SH,SSE,4.16,['机器人'],1
600977,中国电影,600977.SH,SSE,14.39,['大模型'],1
600980,北矿科技,600980.SH,SSE,23.69,['机器人'],1
601038,一拖股份,601038.SH,SSE,13.83,['智能驾驶'],1
601126,四方股份,601126.SH,SSE,69.56,['大模型'],1
601137,博威合金,601137.SH,SSE,19.67,['机器人'],1
601226,华电科工,601226.SH,SSE,9.11,['机器人'],1
601360,三六零,601360.SH,SSE,11.51,['大模型'],1
601519,大智慧,601519.SH,SSE,11.29,['大模型'],1
601608,中信重工,601608.SH,SSE,6.17,['机器人'],1
